-91.613873,35.763584,"Walmart Supercenter; #0119,","Gas/Diesel,"
-91.613151,35.764389,"Murphy: USA; #7635,","Gas/Diesel,"
-91.906522,35.066205,"Walmart Supercenter; #4168,",
-92.5824738,34.5775719,"Murphy: USA; #6801,","Gas/Diesel,"
-92.58112,34.577409,"Walmart Supercenter; #0085,","Gas/Diesel,"
-94.2211,36.388677,"Wm Nbrhd Mkt; #4376,",
-94.189842,36.371803,"Wm Nbrhd Mkt; #2586,",
-94.208848,36.37315,"Wm Nbrhd Mkt; #3164,","Gas,"
-94.171438,36.352592,"Sam's Club; #4969,","Gas/Diesel,"
-94.170857,36.354931,"Wm Nbrhd Mkt; #2741,",
-94.197232,36.334063,"Wm Nbrhd Mkt; #2685,",
-94.224004,36.367959,"Walmart Supercenter; #0100,","Gas/Diesel,"
-94.219265,36.366974,"Walmart Pharmacy/Clinic; #2203,",
-94.222259,36.366355,"Murphy: USA; #6519,","Gas/Diesel,"
-94.220336,36.335687,"Wm Nbrhd Mkt; #4686,",
-93.586135,36.376834,"Walmart Supercenter; #0076,","Gas,"
-93.5825166,36.3756432,"Murphy: USA; #5734,","Gas,"
-89.87208,35.930064,"Walmart Supercenter; #0062,",
-93.90354,35.139755,"Walmart Supercenter; #0055,",
-92.494381,34.623271,"Walmart Supercenter; #3230,","Gas/Diesel,"
-92.4943672,34.6222691,"Murphy: USA; #6672,","Gas/Diesel,"
-92.00854,34.95301,"Wm Nbrhd Mkt; #6975,",
-92.0373986,34.9789392,"Murphy: USA; #6802,","Gas/Diesel,"
-92.039528,34.976535,"Walmart Supercenter; #2587,","Gas/Diesel,"
-92.8429075,33.5648947,"Murphy: USA; #7473,","Gas/Diesel,"
-92.836702,33.568107,"Walmart Supercenter; #0171,","Gas/Diesel,"
-94.257085,36.358302,"Wm Nbrhd Mkt; #6953,",
-93.456613,35.4478383,"Murphy: USA; #6729,","Gas/Diesel,"
-93.460696,35.449396,"Walmart Supercenter; #0066,","Gas/Diesel,"
-92.4540024,35.5669937,"Murphy: USA; #6678,","Gas/Diesel,"
-92.45352,35.566846,"Walmart Supercenter; #0788,","Gas/Diesel,"
-92.438182,35.10855,"Walmart Supercenter; #0005,","Gas/Diesel,"
-92.415845,35.062843,"Sam's Club; #4749,","Gas,"
-92.4406285,35.1083867,"Murphy: USA; #6739,","Gas/Diesel,"
-92.464225,35.092181,"Wm Nbrhd Mkt; #3168,",
-92.495394,35.072107,"Walmart Supercenter; #2575,","Gas/Diesel,"
-92.496061,35.0710449,"Murphy: USA; #6799,","Gas/Diesel,"
-90.595634,36.412104,"Walmart; #0235,",
-91.9415639,33.1380949,"Murphy: USA; #7117,","Gas/Diesel,"
-91.942048,33.136998,"Walmart Supercenter; #0167,","Gas/Diesel,"
-93.16397,35.2184793,"Murphy: USA; #7540,","Gas/Diesel,"
-93.165338,35.217849,"Walmart Supercenter; #0296,","Gas/Diesel,"
-94.318657,34.044242,"Walmart Supercenter; #0279,","Gas/Diesel,"
-94.3181017,34.0454762,"Murphy: USA; #7203,","Gas/Diesel,"
-92.6658066,33.2404514,"Murphy: USA; #7520,","Gas/Diesel,"
-92.667359,33.241791,"Walmart Supercenter; #0530,","Gas/Diesel,"
-94.256132,36.037547,"Wm Nbrhd Mkt; #7242,",
-94.123054,36.089114,"Wm Nbrhd Mkt; #2745,",
-94.201064,36.05082,"Walmart Supercenter; #0144,","Gas,"
-94.2025857,36.0517256,"Murphy: USA; #6541,","Gas,"
-94.182382,36.108134,"Sam's Club; #8209,","Gas/Diesel,"
-94.20988,36.076839,"Wm Nbrhd Mkt; #5737,",
-94.15143,36.122421,"Walmart Supercenter; #0359,","Gas/Diesel,"
-94.1501617,36.1231651,"Murphy: USA; #7123,","Gas/Diesel,"
-94.174862,36.072443,"Walmart Express-Urban; #2997,",
-94.170297,36.056856,"Wm Nbrhd Mkt; #4516,",
-92.6037,36.275197,"Walmart Supercenter; #1147,","Gas/Diesel,"
-92.6016697,36.2753414,"Murphy: USA; #7184,","Gas/Diesel,"
